,en,ko
ID_CARD_INFO_absorber,"A squire that counts ranged attacks. It has the ability to store external kinetic energy as its own energy. Whenever you hit a ranged attack, you can store it and make a more powerful attack on your next attack.",원거리 공격을 카운터하는 스콰이어. 외부의 운동에너지를 자신의 에너지로 저장할 수 있는 능력이 있습니다. 원거리 공격에 맞을 때마다 이를 비축하여 다음번 공격할 때 더 강력하게 광역 공격을 합니다. 이 녀석 앞에선 원거리 공격을 자제하세요~
ID_CARD_INFO_archers,"A squire of a fighter type with an emphasis on maneuverability. They are scrambling in pairs, and are acting as an interceptor to the coil gun from a distance. ","기동성을 중시한 전투기타입의 스콰이어. 한 쌍으로 출격하며 원거리에서 코일건으로 요격하는 역할을 하고 있습니다. 겉 멋에 의존하지 않고, 기본과 효율성을 중시하는 합리적인 존재이지요~"
ID_CARD_INFO_archmage,"A fighter-type squire equipped with a spreading blaster that explodes wide. Attacks one target, but the squads around the target are also damaged. Be careful not to be in front of the Arcmage.","넓게 폭발하는 확산 블래스터를 장착한 전투기 타입의 스콰이어. 하나의 타겟을 공격하지만, 타겟 주변의 스콰이어들도 같이 데미지를 받습니다. 아크메이지 앞에선 모여있지 않도록 주의하세요."
ID_CARD_INFO_azero,Could it be colder in cold outside space? Azero can lower the temperature of your opponent to absolute zero. It is a fighter-type squire that shoots a frozen beam that makes your opponent freeze and slow you down.,차디찬 우주공간에서 더 추워질 수 있을까요? 에이제로는 상대방의 온도를 절대영도까지 내려버릴 수 있습니다. 상대방을 얼려서 느려지게 만드는 프로즌빔을 쏘는 전투기 타입의 스콰이어입니다. 
ID_CARD_INFO_berserker,"A robot-type squire equipped with an anti-barrier sword that destroys the barrier. Have you ever been troubled by failing to penetrate enemy barriers? If so, use Berserker! You can ignore your opponent's barriers and split them.",배리어를 파괴하는 안티배리어소드를 장착한 로봇형 스콰이어. 적들의 배리어를 뚫지 못해서 곤란했던 적이 있습니까? 그렇다면 버서커를 쓰세요. 상대방의 배리어를 무시하고 과일처럼 쪼개버릴테니까요.
ID_CARD_INFO_blaster,"It is a bomber-type squire that fires multiple missiles. If you ignore the blaster is small, you can get hurt. It will blow 8 missiles at once and damage to wide area.",다연장 미사일을 발사하는 전투기 타입의 스콰이어입니다. 블래스터가 작다고 무시하면 큰코 다칠 수 있습니다. 한번에 8개의 미사일을 날려서 광범위한 영역에 피해를 주니까요.
ID_CARD_INFO_champion,"Barrier to prevent ranged attacks, AB sword to pierce the barriers, Area attacks, and all-round squire with transforming abilities. It is usually a form of robot, but when flying away, it transforms into a form of a fighter!","원거리 공격을 막는 배리어, 배리어를 뚫는 AB소드, 범위공격, 그리고 변신기능까지 가지고 있는 만능 스콰이어. 평소에는 로봇의 형태이지만, 먼 곳을 날아갈 때는 전투기의 형태로 변신합니다!! "
ID_CARD_INFO_drillram,Siege type squire attacking knights. Drillram was a spacecraft that mined rare metal from the meteorite. Recreated drillram recruited to the Knights Templar targets only the knight,"나이트를 노려 공격하는 빠른 공성 스콰이어. 드릴램은 과거에 운석에서 희귀광물들을 채굴하던 우주선이었습니다. 기사단에 영입되어 개조된 드릴램은 나이트만을 타게팅하며, 나이트에게 접근하여 드릴로 파괴적인 데미지를 줍니다. "
ID_CARD_INFO_enforcer,Enforcer is a squire specializing in close-wide-area attack. Throw it in the middle of all the enemies! You will see a tough sweep.,인포서는 근접 광역범위 공격에 특화된 스콰이어입니다. 적 무리 한 가운데 던져놓아보세요! 터프하게 쓸어버리는 모습을 볼 수 있을 것입니다.
ID_CARD_INFO_felhounds,"It is a pair of powerful melee attack assassins. Equipped with a barrier that reduces the damage of ranged attacks, you can eliminate targets even among the fighters' fire net. It use a pair of AB swords to easily kill enemys.",강력한 근접 공격 암살자 한쌍으로 구성된 스콰이어입니다. 원거리 공격의 피해를 줄이는 배리어를 장착하고 있어서 전투기들의 포화 사이에서도 목표를 제거할 수 있습니다. 배리어를 찬 상대도 쉽게 죽일 수 있도록 한 쌍의 AB소드를 사용합니다.
