,en,ko
ID_INTRO_SCENE1,"Humanity has made the sun into a dyson sphere, conquering the solar system and qualifying for entry into the galaxy.",인류는 태양을 다이슨 스피어로 만들면서 태양계를 정복했고 은하계로 진출할 자격을 갖추게 된다.
ID_INTRO_SCENE2,"The pioneer fleet widened its territory toward the center of the galaxy, making star systems it meets as a huge propulsion starship.",개척선단은 만나는 항성계들을 거대한 추진 우주선으로 만들면서 은하의 중심을 향해 차근차근 영토를 넓혀나갔다.
ID_INTRO_SCENE3,"With the efforts of these ancestors, we will have a set of trillions of colonies and colony governments in our galaxy.",이러한 선조들의 노력으로 우리 은하엔 수조개의 콜로니와 콜로니 정부가 만들어지게 된다.
ID_INTRO_SCENE4,"For the prosperity of humankind, and for long-term exploitation, colonies unifies to create an empire.","인류라는 종의 번영을 기원하고, 장기적인 개척을 위해 콜로니들은 연합하여 제국을 세우게 된다."
ID_INTRO_SCENE5,"The empire created the Knight, who had his own police rights, for the colony's vigilance activities, and recommend the heroes who performed great achievements.","제국은 콜로니의 자경활동을 위해 자체적인 경찰권을 가진 나이트라는 존재를 만들고, 위대한 업적을 행한 영웅들을 기사로 추대하였다."
ID_INTRO_SCENE6,"One day, a gigantic blue shifted body is observed and approaching our empire in the form of a horrifying malefic star.",어느날 초거대청색편이체가 관측되고 너무나 불길해 보이는 흉성의 형태로 제국에 접근 한다. 
ID_INTRO_SCENE7,"While mankind has drawn infinite energy in a quantum vacuum, the dark energy generated in opposition has evolved somewhere civilization.",인류가 양자요동진공에서 무한히 에너지를 뽑아쓰는 동안 반대 급부로 생성된 암흑 에너지 는 어딘가의 문명을 발전시켜 왔었다.
ID_INTRO_SCENE8,"The fully developed opposite civilization has collided with the empire in the form of a malefic star, and human calls them ""Demon"".","충분히 발달된 반대쪽 문명은 흉성의 형태로 제국과 충돌하였고 인류는 그들을 ""데몬"" 이라 부르게 된다."
ID_INTRO_SCENE9,"After the first clash with Demon, mankind fight big and small wars with Demon, and the empire will want stronger Knights and Knightage",데몬과의 첫 충돌 이후로 인류는 데몬과 크고 작은 전쟁을 치루게 되고 제국은 더욱 강한 기사들과 기사단을 원하게 된다.
ID_INTRO_SCENE10,"So, Zenith of Knight Tournament  - Z . O . K . T - were held.
Get good grades here and raise the honor of the Imperial Knights!","그래서 열리게 된 전우주기사 토너먼트 Z . O . K . T 
여기서 좋은 성적을 거두어 제국 기사단의 명예를 드높여라!"
ID_INTRO_SKIP,SKIP,스킵
