,en,ko
ID_LEADER_SKILL_archengineer,Knights' normal attack now deals damage to the wide area.,나이트들의 일반 공격이 이제 범위 영역에 데미지를 주게 됩니다.
ID_LEADER_SKILL_archsapper,"When the battle begins, it will construct the enhanced AB Cannons.",배틀이 시작할 때 강화된 AB캐논 2기를 설치합니다.
ID_LEADER_SKILL_astra,Gives additional HP to knights.,나이트들에게 추가로 HP를 부여합니다.
ID_LEADER_SKILL_buran,Damage will increase when knights continue to attack the same target.,나이트들이 같은 대상을 계속하여 공격할 때 데미지가 증가하게 됩니다.
ID_LEADER_SKILL_frost,Knight's normal attack now has a chilling attribute that slows the opponent.,나이트의 일반 공격이 이제 상대방을 느려지게 하는 냉기 속성을 지니게 됩니다.
ID_LEADER_SKILL_ironcoffin,Sentry is additionally deployed periodically from MotherShip.,주기적으로 머더쉽으로부터 센트리가 추가 지원 배치됩니다.
ID_LEADER_SKILL_judge,Knights' normal attack range increases.,나이트들의 일반 공격 사거리가 증가합니다.
ID_LEADER_SKILL_lancer,"When the battle begins, it sprays a cloud of corrosive nanomechanics that constantly damages ahead.",배틀이 시작할 때 전방에 지속적으로 데미지를 주는 부식성의 나노머신구름을 뿌립니다.
ID_LEADER_SKILL_legion,Knights are given additional arm parts to increase firepower.,나이트들에게 화력을 증가시키는 화력지원 추가 파츠가 부여됩니다.
ID_LEADER_SKILL_nagmash,"Periodically, footman are deployed in support from the MotherShip.",주기적으로 머더쉽으로부터  풋맨이 추가 지원 배치됩니다.
ID_LEADER_SKILL_pixieking,Pixie is sprayed periodically from the MotherShip.,주기적으로 머더쉽으로부터 픽시가 살포됩니다.
ID_LEADER_SKILL_tombstone,"Each time our 4 squires are shot down, one additional footman is deployed.",아군 스콰이어가 4기 격추될 때마다 풋맨 1기가 추가적으로 배치됩니다.
ID_LEADER_SKILL_valkyrie,Micro Missiles are regularly sprayed from the mother ship.,주기적으로 머더쉽으로부터 마이크로미사일이 살포됩니다.
