,en,ko
ID_TUTORIAL_TITLE,TUTORIAL,튜우터리얼
ID_REQUEST_ARCHERS,,아쳐를 드래그해서 전장에 놓아보세요.
ID_REQUEST_BERSERKER_1,,배리어를 쓰는 적이 등장했습니다.
ID_REQUEST_BERSERKER_2,,배리어는 에너지를 기반으로 한 공격들을 막아줍니다. 대부분의 원거리 공격을 하는 스콰이어들을 무력하게 만듭니다.
ID_REQUEST_BERSERKER_3,,"배리어를 뚫을 수 있는 무기들을 쓰는 스콰이어들이 있습니다. 이들 무기를 AntiBarrier, 줄여서 AB무기라 합니다."
ID_REQUEST_BERSERKER_4,,여기 AB소드를 장착한 버서커가 있습니다. 이 스콰이어를 활용해보세요.
ID_REQUEST_BERSERKER_5,,버서커를 전장에 출격시키세요.
ID_REMIND_ANTI_BARRIER,,AB 속성이 붙은 스콰이어들은 배리어를 쓰는 상대방을 손쉽게 파괴할 수 있습니다. 꼭 기억하세요.
ID_REQUEST_GARGOYLES_1,,상대 나이트가 원거리 스콰이어를 엄청나게 출격시키네요. 그러면 우리도 배리어를 쓰는 스콰이어를 등장시켜볼까요.
ID_REQUEST_GARGOYLES_2,,가고일로 적을 처치하세요.
ID_EXPLAIN_ENERGY_BOOST_1,,스콰이어를 출격시킬 때마다 에너지가 소모됩니다. 에너지는 시간이 흐르면 알아서 충전됩니다.
ID_EXPLAIN_ENERGY_BOOST_2,,결투가 막바지에 다다르면 에너지 부스트 타임이 되면서 에너지가 차는 속도가 빨라집니다. 신나게 스콰이어를 뽑아보세요!
ID_REMIND_POSITION_STRATEGY,,어떤 스콰이어를 어느 위치에 출격시킬지가 가장 중요합니다. 적절한 타이밍에 적절한 위치에 놓도록 연습해보세요.
ID_REQUEST_FIRE_BALL_1,,때로는 나이트가 직접 전투에 나서는 것이 좋을 때도 있습니다. 바로 지금처럼요!
ID_REQUEST_FIRE_BALL_2,,나이트 레기온의 윙스킬 파이어볼을 써보세요!
ID_TO_THE_VICTORY,,이제 적 나이트에게 총 공격을 가하세요. 그리고 승리하세요!
